,Pokemon,Cluster
0,Abomasnow,17
1,Abra,10
2,Absol,6
3,Accelgor,0
4,Aegislash,2
5,Aerodactyl,1
6,Aggron,2
7,Aipom,4
8,Alakazam,10
9,Alomomola,15
10,Altaria,16
11,Amaura,17
12,Ambipom,4
13,Amoonguss,3
14,Ampharos,9
15,Anorith,2
16,Arbok,14
17,Arcanine,11
18,Arceus,1
19,Arceus-Bug,1
20,Arceus-Dark,1
21,Arceus-Dragon,1
22,Arceus-Electric,1
23,Arceus-Fairy,1
24,Arceus-Fighting,1
25,Arceus-Fire,1
26,Arceus-Flying,1
27,Arceus-Ghost,1
28,Arceus-Grass,1
29,Arceus-Ground,1
30,Arceus-Ice,1
31,Arceus-Poison,1
32,Arceus-Psychic,1
33,Arceus-Rock,1
34,Arceus-Steel,1
35,Arceus-Water,1
36,Archen,2
37,Archeops,1
38,Ariados,0
39,Armaldo,2
40,Aromatisse,4
41,Aron,2
42,Articuno,17
43,Audino,4
44,Aurorus,17
45,Avalugg,17
46,Axew,1
47,Azelf,10
48,Azumarill,15
49,Azurill,15
50,Bagon,1
51,Baltoy,10
52,Banette,6
53,Barbaracle,5
54,Barboach,15
55,Basculin,15
56,Bastiodon,2
57,Bayleef,3
58,Beartic,17
59,Beautifly,0
60,Beedrill,0
61,Beheeyem,10
62,Beldum,4
63,Bellossom,3
64,Bellsprout,3
65,Bergmite,17
66,Bibarel,5
67,Bidoof,4
68,Binacle,5
69,Bisharp,13
70,Blastoise,5
71,Blaziken,11
72,Blissey,4
73,Blitzle,9
74,Boldore,2
75,Bonsly,2
76,Bouffalant,2
77,Braixen,11
78,Braviary,16
79,Breloom,13
80,Bronzong,10
81,Bronzor,10
82,Budew,3
83,Buizel,15
84,Bulbasaur,3
85,Buneary,4
86,Bunnelby,2
87,Burmy,1
88,Butterfree,0
89,Cacnea,3
90,Cacturne,3
91,Camerupt,2
92,Carbink,2
93,Carnivine,3
94,Carracosta,5
95,Carvanha,15
96,Cascoon,12
97,Castform,4
98,Caterpie,12
99,Celebi,10
100,Chandelure,6
101,Chansey,4
102,Charmander,11
103,Charmeleon,11
104,Chatot,16
105,Cherrim,3
106,Cherubi,3
107,Chesnaught,3
108,Chespin,3
109,Chikorita,3
110,Chimchar,11
111,Chimecho,10
112,Chinchou,15
113,Chingling,10
114,Cinccino,4
115,Clamperl,15
116,Clauncher,15
117,Clawitzer,15
118,Claydol,10
119,Clefairy,4
120,Cleffa,4
121,Cloyster,15
122,Cobalion,2
123,Cofagrigus,6
124,Combee,0
125,Combusken,11
126,Conkeldurr,13
127,Corphish,5
128,Corsola,2
129,Cottonee,3
130,Cradily,2
131,Cranidos,2
132,Crawdaunt,5
133,Cresselia,10
134,Croagunk,13
135,Crobat,7
136,Croconaw,5
137,Crustle,2
138,Cryogonal,17
139,Cubchoo,17
140,Cubone,2
141,Cyndaquil,11
142,Darkrai,6
143,Darmanitan,11
144,Darumaka,11
145,Dedenne,9
146,Deerling,3
147,Deino,1
148,Delcatty,4
149,Delibird,17
150,Delphox,11
151,Deoxys,10
152,Deoxys-Attack,10
153,Deoxys-Defense,10
154,Deoxys-Speed,10
155,Dewgong,15
156,Dewott,15
157,Dialga,1
158,Diancie,2
159,Diggersby,13
160,Diglett,2
161,Ditto,4
162,Dodrio,16
163,Doduo,16
164,Donphan,2
165,Doublade,2
166,Dragalge,15
167,Dragonair,1
168,Dragonite,1
169,Drapion,14
170,Dratini,1
171,Drifblim,4
172,Drifloon,4
173,Drilbur,2
174,Drowzee,10
175,Druddigon,1
176,Ducklett,16
177,Dugtrio,2
178,Dunsparce,2
179,Duosion,10
180,Durant,2
181,Dusclops,6
182,Dusknoir,6
183,Duskull,6
184,Dustox,0
185,Dwebble,2
186,Eelektrik,9
187,Eelektross,9
188,Eevee,4
189,Ekans,14
190,Electabuzz,9
191,Electivire,9
192,Electrike,9
193,Electrode,9
194,Elekid,9
195,Elgyem,10
196,Emboar,11
197,Emolga,9
198,Empoleon,5
199,Entei,11
200,Escavalier,0
201,Espeon,10
202,Espurr,10
203,Excadrill,2
204,Exeggcute,3
205,Exeggutor,3
206,Exploud,4
207,Farfetch'd,16
208,Fearow,16
209,Feebas,15
210,Fennekin,11
211,Feraligatr,5
212,Ferroseed,2
213,Ferrothorn,3
214,Finneon,15
215,Flaaffy,9
216,Flabebe,3
217,Flareon,11
218,Fletchinder,11
219,Fletchling,16
220,Floatzel,5
221,Floette,3
222,Floette-Eternal,3
223,Florges,3
224,Flygon,1
225,Foongus,3
226,Forretress,2
227,Fraxure,1
228,Frillish,15
229,Froakie,5
230,Frogadier,5
231,Froslass,17
232,Furfrou,4
233,Furret,4
234,Gabite,1
235,Gallade,10
236,Galvantula,0
237,Garbodor,14
238,Gardevoir,10
239,Gastly,6
240,Gastrodon,5
241,Genesect,0
242,Gengar,6
243,Geodude,2
244,Gible,1
245,Gigalith,2
246,Girafarig,10
247,Giratina,1
248,Giratina-Origin,1
249,Glaceon,4
250,Glalie,17
251,Glameow,4
252,Gligar,14
253,Gliscor,14
254,Gloom,3
255,Gogoat,3
256,Golbat,7
257,Goldeen,15
258,Golduck,15
259,Golem,2
260,Golett,2
261,Golurk,2
262,Goodra,1
263,Goomy,1
264,Gorebyss,15
265,Gothita,10
266,Gothitelle,10
267,Gothorita,10
268,Gourgeist,6
269,Gourgeist-Large,8
270,Gourgeist-Small,8
271,Gourgeist-Super,8
272,Granbull,13
273,Graveler,2
274,Greninja,5
275,Grimer,14
276,Grotle,3
277,Grovyle,3
278,Growlithe,11
279,Grumpig,10
280,Gulpin,14
281,Gurdurr,13
282,Gyarados,5
283,Happiny,4
284,Hariyama,13
285,Haunter,6
286,Hawlucha,13
287,Haxorus,1
288,Heatmor,11
289,Heliolisk,9
290,Helioptile,9
291,Heracross,13
292,Herdier,4
293,Hippopotas,2
294,Hippowdon,2
295,Hitmonchan,13
296,Hitmonlee,13
297,Hitmontop,13
298,Honchkrow,7
299,Honedge,2
300,Ho-Oh,16
301,Hoopa,10
302,Hoopa-Unbound,10
303,Hoothoot,16
304,Hoppip,3
305,Horsea,15
306,Houndoom,11
307,Houndour,11
308,Huntail,15
309,Hydreigon,1
310,Hypno,10
311,Igglybuff,4
312,Illumise,4
313,Inkay,6
314,Ivysaur,3
315,Jellicent,15
316,Jigglypuff,4
317,Jirachi,10
318,Jolteon,4
319,Joltik,0
320,Jumpluff,3
321,Jynx,10
322,Kabuto,5
323,Kabutops,5
324,Kadabra,10
325,Kakuna,12
326,Kangaskhan,4
327,Karrablast,0
328,Kecleon,4
329,Keldeo,5
330,Kingdra,15
331,Kingler,5
332,Kirlia,10
333,Klang,9
334,Klefki,10
335,Klink,9
336,Klinklang,9
337,Koffing,14
338,Krabby,5
339,Kricketot,12
340,Kricketune,0
341,Krokorok,13
342,Krookodile,13
343,Kyogre,15
344,Kyurem,1
345,Kyurem-Black,1
346,Kyurem-White,1
347,Lairon,2
348,Lampent,6
349,Landorus,2
350,Landorus-Therian,2
351,Lanturn,15
352,Lapras,15
353,Larvesta,11
354,Larvitar,2
355,Latias,10
356,Latios,10
357,Leafeon,3
358,Leavanny,0
359,Ledian,0
360,Ledyba,0
361,Lickilicky,4
362,Lickitung,4
363,Liepard,6
364,Lileep,3
365,Lilligant,3
366,Lillipup,4
367,Linoone,4
368,Litleo,11
369,Litwick,6
370,Lombre,15
371,Lopunny,4
372,Lotad,3
373,Loudred,4
374,Lucario,13
375,Ludicolo,5
376,Lugia,1
377,Lumineon,15
378,Lunatone,10
379,Luvdisc,15
380,Luxio,9
381,Luxray,9
382,Machamp,13
383,Machoke,13
384,Machop,13
385,Magby,11
386,Magcargo,2
387,Magikarp,4
388,Magmar,11
389,Magmortar,11
390,Magnemite,9
391,Magneton,9
392,Magnezone,9
393,Makuhita,13
394,Malamar,6
395,Mamoswine,17
396,Manaphy,15
397,Mandibuzz,7
398,Manectric,9
399,Mankey,13
400,Mantine,15
401,Mantyke,15
402,Maractus,3
403,Mareep,9
404,Marill,15
405,Marowak,2
406,Marshtomp,5
407,Masquerain,0
408,Mawile,13
409,Medicham,10
410,Meditite,10
411,Meganium,3
412,Meloetta,10
413,Meowstic-F,10
414,Meowstic-M,10
415,Meowth,4
416,Metagross,2
417,Metang,2
418,Metapod,12
419,Mew,1
420,Mewtwo,10
421,Mienfoo,13
422,Mienshao,13
423,Mightyena,4
424,Milotic,15
425,Miltank,4
426,Mime Jr.,10
427,Minccino,4
428,Minun,9
429,Misdreavus,6
430,Mismagius,6
431,Moltres,16
432,Monferno,11
433,Mothim,0
434,Mr. Mime,10
435,Mudkip,5
436,Muk,14
437,Munchlax,4
438,Munna,10
439,Murkrow,7
440,Musharna,10
441,Natu,10
442,Nidoking,14
443,Nidoqueen,14
444,Nidoran-F,14
445,Nidoran-M,14
446,Nidorina,14
447,Nidorino,14
448,Nincada,0
449,Ninetales,11
450,Ninjask,0
451,Noctowl,16
452,Noibat,7
453,Noivern,7
454,Nosepass,2
455,Numel,11
456,Nuzleaf,3
457,Octillery,15
458,Oddish,3
459,Omanyte,5
460,Omastar,5
461,Onix,2
462,Oshawott,15
463,Pachirisu,9
464,Palkia,1
465,Palpitoad,5
466,Pancham,13
467,Pangoro,13
468,Panpour,5
469,Pansage,3
470,Pansear,11
471,Paras,3
472,Parasect,3
473,Patrat,4
474,Pawniard,13
475,Pelipper,16
476,Persian,4
477,Petilil,3
478,Phanpy,2
479,Phantump,6
480,Phione,15
481,Pichu,4
482,Pidgeot,16
483,Pidgeotto,16
484,Pidgey,16
485,Pidove,16
486,Pignite,11
487,Pikachu,4
488,Piloswine,17
489,Pineco,2
490,Pinsir,13
491,Piplup,15
492,Plusle,9
493,Politoed,5
494,Poliwag,15
495,Poliwhirl,15
496,Poliwrath,5
497,Ponyta,11
498,Poochyena,4
499,Porygon,10
500,Porygon2,10
501,Porygon-Z,10
502,Primeape,13
503,Prinplup,15
504,Probopass,2
505,Psyduck,15
506,Pumpkaboo,6
507,Pumpkaboo-Large,8
508,Pumpkaboo-Small,8
509,Pumpkaboo-Super,8
510,Pupitar,2
511,Purrloin,6
512,Purugly,4
513,Pyroar,11
514,Quagsire,5
515,Quilava,11
516,Quilladin,3
517,Qwilfish,15
518,Raichu,4
519,Raikou,9
520,Ralts,10
521,Rampardos,2
522,Rapidash,11
523,Raticate,4
524,Rattata,4
525,Regice,2
526,Regigigas,2
527,Regirock,2
528,Registeel,2
529,Relicanth,5
530,Remoraid,15
531,Reshiram,1
532,Reuniclus,10
533,Rhydon,2
534,Rhyhorn,2
535,Rhyperior,2
536,Riolu,13
537,Roggenrola,2
538,Roselia,3
539,Roserade,3
540,Rotom,9
541,Rotom-Fan,9
542,Rotom-Frost,9
543,Rotom-Heat,9
544,Rotom-Mow,9
545,Rotom-Wash,9
546,Rufflet,16
547,Sableye,6
548,Salamence,1
549,Samurott,15
550,Sandile,2
551,Sandshrew,2
552,Sandslash,2
553,Sawk,13
554,Sawsbuck,3
555,Scatterbug,12
556,Sceptile,3
557,Scizor,0
558,Scolipede,14
559,Scrafty,13
560,Scraggy,13
561,Scyther,0
562,Seadra,15
563,Seaking,15
564,Sealeo,5
565,Seedot,3
566,Seel,15
567,Seismitoad,5
568,Sentret,4
569,Serperior,3
570,Servine,3
571,Seviper,14
572,Sewaddle,0
573,Sharpedo,5
574,Shaymin,3
575,Shaymin-Sky,3
576,Shedinja,0
577,Shelgon,1
578,Shellder,15
579,Shellos,15
580,Shelmet,0
581,Shieldon,2
582,Shiftry,3
583,Shinx,9
584,Shroomish,3
585,Shuckle,2
586,Shuppet,6
587,Sigilyph,10
588,Silcoon,12
589,Simipour,5
590,Simisage,3
591,Simisear,11
592,Skarmory,7
593,Skiddo,3
594,Skiploom,3
595,Skitty,4
596,Skorupi,14
597,Skrelp,15
598,Skuntank,14
599,Slaking,13
600,Slakoth,4
601,Sliggoo,1
602,Slowbro,10
603,Slowking,10
604,Slowpoke,10
605,Slugma,11
606,Slurpuff,4
607,Smeargle,4
608,Smoochum,10
609,Sneasel,13
610,Snivy,3
611,Snorlax,4
612,Snorunt,17
613,Snover,3
614,Snubbull,4
615,Solosis,10
616,Solrock,10
617,Spearow,16
618,Spewpa,12
619,Spheal,5
620,Spinarak,0
621,Spinda,4
622,Spiritomb,6
623,Spoink,10
624,Spritzee,4
625,Squirtle,15
626,Stantler,10
627,Staraptor,16
628,Staravia,16
629,Starly,16
630,Starmie,15
631,Staryu,15
632,Steelix,2
633,Steelix-Mega,2
634,Stoutland,4
635,Stunfisk,5
636,Stunky,14
637,Sudowoodo,2
638,Suicune,15
639,Sunflora,3
640,Sunkern,3
641,Surskit,15
642,Swablu,16
643,Swadloon,0
644,Swalot,14
645,Swampert,5
646,Swanna,16
647,Swellow,16
648,Swinub,17
649,Swirlix,4
650,Swoobat,10
651,Sylveon,4
652,Taillow,16
653,Talonflame,11
654,Tangela,3
655,Tangrowth,3
656,Tauros,4
657,Teddiursa,4
658,Tentacool,15
659,Tentacruel,15
660,Tepig,11
661,Terrakion,2
662,Throh,13
663,Thundurus,9
664,Thundurus-Therian,9
665,Timburr,13
666,Tirtouga,5
667,Togekiss,4
668,Togepi,4
669,Togetic,4
670,Torchic,11
671,Torkoal,11
672,Tornadus,7
673,Tornadus-Therian,7
674,Torterra,3
675,Totodile,5
676,Toxicroak,13
677,Tranquill,16
678,Trapinch,2
679,Treecko,3
680,Trevenant,6
681,Tropius,3
682,Trubbish,14
683,Turtwig,3
684,Tympole,15
685,Tynamo,9
686,Typhlosion,11
